"DateTime","Moc chwilowa PV"
"2021-01-12 09:56:10",0.48
"2021-01-12 10:01:10",0.6
"2021-01-12 10:06:11",0.718
"2021-01-12 10:11:10",0.843
"2021-01-12 10:15:00",0.783
"2021-01-12 10:20:01",0.825
"2021-01-12 10:26:10",0.888
"2021-01-12 10:30:00",1.08
"2021-01-12 10:35:00",0.852
"2021-01-12 10:40:00",0.72
"2021-01-12 10:46:10",0.584
"2021-01-12 10:50:00",0.783
"2021-01-12 10:56:11",0.873
"2021-01-12 11:00:00",0.786
"2021-01-12 11:06:10",0.681
"2021-01-12 11:11:10",0.72
"2021-01-12 11:16:11",0.825
"2021-01-12 11:20:01",0.798
"2021-01-12 11:25:00",0.843
"2021-01-12 11:30:01",0.957
"2021-01-12 11:35:00",0.963
"2021-01-12 11:40:01",0.718
"2021-01-12 11:45:00",0.722
"2021-01-12 11:50:00",0.72
"2021-01-12 11:55:00",0.72
"2021-01-12 12:00:01",0.718
"2021-01-12 12:05:00",0.602
"2021-01-12 12:10:00",0.6
"2021-01-12 12:15:00",0.48
"2021-01-12 12:20:00",0.48
"2021-01-12 12:26:10",0.584
"2021-01-12 12:30:00",0.454
"2021-01-12 12:36:10",0.496
"2021-01-12 12:40:00",0.47
"2021-01-12 12:46:10",0.486
"2021-01-12 12:51:10",0.468
"2021-01-12 12:55:00",0.642
"2021-01-12 13:01:10",0.486
"2021-01-12 13:06:10",0.48
"2021-01-12 13:12:20",0.389
"2021-01-12 13:15:00",0.45
"2021-01-12 13:20:00",0.36
"2021-01-12 13:26:10",0.379
"2021-01-12 13:31:10",0.252
"2021-01-12 13:35:00",0.313
"2021-01-12 13:41:10",0.292
"2021-01-12 13:46:10",0.36
"2021-01-12 13:51:10",0.24
"2021-01-12 13:55:00",0.313
"2021-01-12 14:01:10",0.185
"2021-01-12 14:05:00",0.329
"2021-01-12 14:10:00",0.12
"2021-01-12 14:15:00",0.228
"2021-01-12 14:20:00",0.252
"2021-01-12 14:26:10",0.097
"2021-01-12 14:31:10",0.12
"2021-01-12 14:35:00",0
"2021-01-12 14:41:10",0.097
"2021-01-12 14:45:00",0
"2021-01-18 10:20:00",0
"2021-01-21 08:00:00",0
"2021-01-21 08:10:00",0.06
"2021-01-21 08:15:00",0
"2021-01-21 08:25:00",0.06
"2021-01-21 08:30:00",0
"2021-01-21 08:45:00",0.04
"2021-01-21 08:50:00",0
"2021-01-21 08:55:00",0.108
"2021-01-21 09:00:00",0
"2021-01-21 09:05:00",0.12
"2021-01-21 09:10:00",0.132
"2021-01-21 09:15:00",0.12
"2021-01-21 09:20:00",0.12
"2021-01-21 09:25:00",0.228
"2021-01-21 09:30:00",0.372
"2021-01-21 09:35:00",0.6
"2021-01-21 09:40:00",0.72
"2021-01-21 09:45:00",0.72
"2021-01-21 09:50:00",0.708
"2021-01-21 09:55:00",0.72
"2021-01-21 10:00:00",0.852
"2021-01-21 10:05:00",0.84
"2021-01-21 10:10:00",0.828
"2021-01-21 10:15:00",0.972
"2021-01-21 10:20:00",0.948
"2021-01-21 10:25:00",0.972
"2021-01-21 10:30:00",0.948
"2021-01-21 10:35:00",1.092
"2021-01-21 10:40:00",1.08
"2021-01-21 10:45:00",1.2
"2021-01-21 10:50:00",1.188
"2021-01-21 10:55:00",1.2
"2021-01-21 11:00:00",1.092
"2021-01-21 11:05:00",1.2
"2021-01-21 11:11:10",1.168
"2021-01-21 11:15:00",1.252
"2021-01-21 11:20:00",1.068
"2021-01-21 11:25:00",1.092
"2021-01-21 11:30:00",1.08
"2021-01-21 11:35:00",1.068
"2021-01-21 11:40:00",1.092
"2021-01-21 11:45:00",1.08
"2021-01-21 11:50:00",0.948
"2021-01-21 11:55:00",0.972
"2021-01-21 12:00:00",0.948
"2021-01-21 12:05:00",0.972
"2021-01-21 12:10:01",0.945
"2021-01-21 12:16:11",0.885
"2021-01-21 12:21:11",0.828
"2021-01-21 12:25:01",0.939
"2021-01-21 12:30:01",0.972
"2021-01-21 12:36:11",0.876
"2021-01-21 12:40:01",0.783
"2021-01-21 12:46:11",0.778
"2021-01-21 12:51:11",0.96
"2021-01-21 12:56:11",0.72
"2021-01-21 13:01:11",0.84
"2021-01-21 13:05:01",0.783
"2021-01-21 13:10:01",0.72
"2021-01-21 13:16:11",0.584
"2021-01-21 13:20:01",0.626
"2021-01-21 13:26:11",0.584
"2021-01-21 13:31:11",0.6
"2021-01-21 13:36:11",0.48
"2021-01-21 13:41:11",0.6
"2021-01-21 13:45:01",0.47
"2021-01-21 13:51:11",0.486
"2021-01-21 13:56:11",0.48
"2021-01-21 14:01:11",0.48
"2021-01-21 14:06:11",0.348
"2021-01-21 14:11:11",0.492
"2021-01-21 14:15:01",0.297
"2021-01-21 14:21:11",0.399
"2021-01-21 14:26:11",0.48
"2021-01-21 14:30:01",0.313
"2021-01-21 14:36:11",0.292
"2021-01-21 14:41:11",0.348
"2021-01-21 14:45:01",0.329
"2021-01-21 14:50:01",0.24
"2021-01-21 14:56:13",0.29
"2021-01-21 15:00:01",0.158
"2021-01-21 15:05:01",0.228
"2021-01-21 15:11:11",0.204
"2021-01-21 15:16:11",0.12
"2021-01-21 15:21:11",0.12
"2021-01-21 15:25:01",0.157
"2021-01-21 15:30:01",0.108
"2021-01-21 15:35:01",0.132
"2021-01-21 15:40:01",0
"2021-01-22 08:05:01",0.001
"2021-01-22 08:10:01",0.12
"2021-01-22 08:15:02",0.12
"2021-01-22 08:21:11",0.185
"2021-01-22 08:26:11",0.252
"2021-01-22 08:31:15",0.118
"2021-01-22 08:36:11",0.231
"2021-01-22 08:41:11",0.372
"2021-01-22 08:45:01",0.297
"2021-01-22 08:51:11",0.302
"2021-01-22 08:56:11",0.348
"2021-01-22 09:01:12",0.371
"2021-01-22 09:06:11",0.361
"2021-01-22 09:10:02",0.779
"2021-01-22 09:16:11",1.366
"2021-01-22 09:21:12",1.423
"2021-01-22 09:26:11",1.096
"2021-01-22 09:31:12",1.423
"2021-01-22 09:36:12",1.2
"2021-01-22 09:40:02",1.268
